personnel_id,deployment_type,continuous_duty_days,leave_days_taken_last_90d,leave_days_due,transfers_last_2yrs,overtime_hours_last_30d,self_assessment_score,sleep_hours_band,resting_hr_band,ground_truth_composite_score,elevated_welfare_risk
CRP-1085,field,17,4,34,0,40,21,5-7h,normal,0.297,0
CRP-1086,high_stress,14,2,31,1,64,19,5-7h,elevated,0.545,0
CRP-1087,field,47,5,6,0,44,17,5-7h,elevated,0.474,0
CRP-1088,high_stress,74,4,41,1,47,12,<5h,elevated,0.928,1
CRP-1089,home_station,12,11,7,0,9,25,>7h,normal,0.008,0
CRP-1090,high_stress,64,5,26,2,76,11,<5h,high,0.997,1
CRP-1091,home_station,1,6,5,0,0,21,5-7h,elevated,0.041,0
CRP-1092,high_stress,25,2,20,4,60,18,5-7h,normal,0.61,1
CRP-1093,home_station,1,9,7,1,11,-1,>7h,elevated,0.134,0
CRP-1094,high_stress,14,5,26,2,60,17,5-7h,normal,0.55,0
CRP-1095,home_station,20,19,6,1,11,-1,>7h,elevated,0.251,0
CRP-1096,home_station,5,20,3,1,9,22,>7h,normal,0.028,0
CRP-1097,field,22,4,28,1,15,-1,>7h,normal,0.368,0
CRP-1098,high_stress,80,4,37,2,70,-1,<5h,high,1.061,1
CRP-1099,high_stress,14,2,33,2,44,-1,>7h,normal,0.522,0
CRP-1100,home_station,3,12,10,0,21,18,>7h,normal,0.078,0
CRP-1101,high_stress,16,6,38,1,57,-1,5-7h,normal,0.565,1
CRP-1102,home_station,8,7,15,0,2,-1,>7h,high,0.128,0
CRP-1103,high_stress,14,3,47,2,54,14,5-7h,elevated,0.572,1
CRP-1104,field,6,6,15,1,32,-1,5-7h,normal,0.239,0
CRP-1105,field,8,5,21,2,26,20,5-7h,normal,0.269,0
CRP-1106,high_stress,14,5,35,3,61,-1,5-7h,elevated,0.645,1
CRP-1107,high_stress,26,4,25,1,82,16,<5h,high,0.671,1
CRP-1108,home_station,6,10,0,0,23,-1,>7h,normal,0.055,0
CRP-1109,field,5,5,10,1,41,25,5-7h,normal,0.167,0
CRP-1110,home_station,1,9,4,0,12,22,5-7h,normal,-0.004,0
CRP-1111,field,30,6,14,1,39,-1,5-7h,elevated,0.478,0
CRP-1112,home_station,22,17,10,0,18,-1,<5h,normal,0.304,0
CRP-1113,home_station,1,10,12,2,6,-1,5-7h,normal,0.111,0
CRP-1114,field,31,6,20,0,28,20,5-7h,normal,0.334,0
CRP-1115,field,13,7,10,3,17,23,5-7h,elevated,0.322,0
CRP-1116,field,51,5,27,0,44,16,5-7h,elevated,0.556,1
CRP-1117,field,59,7,15,3,26,16,<5h,high,0.715,1
CRP-1118,field,18,9,6,0,39,19,5-7h,normal,0.233,0
CRP-1119,high_stress,24,3,32,2,35,-1,5-7h,normal,0.576,1
CRP-1120,home_station,1,15,8,1,31,-1,5-7h,elevated,0.185,0
CRP-1121,home_station,1,11,13,0,15,25,5-7h,normal,-0.017,0
CRP-1122,home_station,1,15,11,0,0,25,<5h,normal,0.025,0
CRP-1123,home_station,11,7,6,1,30,24,>7h,normal,0.108,0
CRP-1124,field,24,6,28,0,37,20,5-7h,normal,0.385,0
CRP-1125,home_station,10,7,9,1,17,-1,5-7h,elevated,0.199,0
CRP-1126,home_station,11,15,12,1,20,21,5-7h,normal,0.122,0
CRP-1127,home_station,4,18,5,0,2,23,5-7h,normal,0.011,0
CRP-1128,field,15,9,27,1,31,16,5-7h,normal,0.296,0
CRP-1129,field,36,7,26,3,31,-1,<5h,elevated,0.636,1
CRP-1130,field,5,0,19,0,46,18,5-7h,normal,0.224,0
CRP-1131,field,5,8,24,0,23,20,5-7h,normal,0.202,0
CRP-1132,high_stress,26,3,45,1,62,17,5-7h,high,0.627,1
CRP-1133,field,13,4,10,1,26,20,5-7h,normal,0.264,0
CRP-1134,field,15,2,22,1,30,22,<5h,normal,0.346,0
CRP-1135,home_station,4,20,9,2,35,19,5-7h,elevated,0.263,0
CRP-1136,field,75,7,33,0,21,13,<5h,elevated,0.745,1
CRP-1137,high_stress,42,0,12,2,60,21,5-7h,normal,0.569,1
CRP-1138,field,75,7,12,0,24,15,5-7h,elevated,0.638,1
CRP-1139,high_stress,14,4,21,4,50,-1,5-7h,elevated,0.668,1
CRP-1140,home_station,14,13,10,1,13,-1,<5h,normal,0.196,0
CRP-1141,home_station,27,6,0,0,19,21,>7h,normal,0.197,0
CRP-1142,high_stress,76,3,31,2,63,14,<5h,elevated,0.984,1
CRP-1143,home_station,37,8,15,0,18,-1,>7h,normal,0.322,0
CRP-1144,home_station,6,14,4,0,12,23,>7h,normal,0.009,0
CRP-1145,home_station,7,8,9,0,19,18,5-7h,normal,0.076,0
CRP-1146,home_station,45,17,10,2,12,17,5-7h,normal,0.326,0
CRP-1147,field,75,7,29,0,40,21,<5h,high,0.651,1
CRP-1148,field,13,5,24,1,44,18,<5h,normal,0.311,0
CRP-1149,high_stress,14,0,33,1,40,20,5-7h,elevated,0.463,0
CRP-1150,home_station,3,8,9,0,28,25,>7h,high,0.059,0
CRP-1151,high_stress,15,1,50,1,53,22,5-7h,elevated,0.577,1
CRP-1152,home_station,7,18,12,0,9,22,<5h,normal,0.083,0
CRP-1153,high_stress,53,0,22,2,65,17,<5h,normal,0.783,1
CRP-1154,home_station,1,14,14,0,8,23,5-7h,elevated,0.034,0
CRP-1155,field,18,4,27,3,52,-1,>7h,normal,0.544,0
CRP-1156,home_station,4,7,0,0,19,23,<5h,normal,0.047,0
CRP-1157,home_station,16,15,9,1,17,23,>7h,normal,0.128,0
CRP-1158,home_station,7,13,6,1,15,-1,5-7h,normal,0.081,0
CRP-1159,field,17,7,5,1,38,-1,5-7h,normal,0.337,0
CRP-1160,home_station,2,11,5,1,17,-1,5-7h,normal,0.06,0
CRP-1161,field,38,5,20,1,17,16,5-7h,elevated,0.504,0
CRP-1162,high_stress,35,2,17,2,28,14,>7h,normal,0.566,1
CRP-1163,field,16,4,21,1,57,24,5-7h,elevated,0.389,0
CRP-1164,field,5,4,18,1,29,-1,>7h,normal,0.237,0
CRP-1165,home_station,5,11,9,0,14,-1,>7h,elevated,0.109,0
CRP-1166,field,38,11,18,2,23,25,5-7h,normal,0.4,0
CRP-1167,home_station,1,12,1,0,23,-1,5-7h,elevated,0.11,0
CRP-1168,field,16,5,34,1,45,22,5-7h,normal,0.372,0
CRP-1169,high_stress,14,5,30,1,51,18,5-7h,elevated,0.512,0
CRP-1170,field,37,5,14,0,36,15,5-7h,elevated,0.454,0
CRP-1171,high_stress,14,4,16,3,47,-1,5-7h,normal,0.5,0
CRP-1172,field,75,1,7,0,48,11,5-7h,elevated,0.664,1
CRP-1173,field,5,7,25,0,39,25,5-7h,normal,0.199,0
CRP-1174,field,13,8,24,0,59,18,<5h,elevated,0.484,0
CRP-1175,home_station,2,10,5,1,3,-1,>7h,elevated,0.12,0
CRP-1176,home_station,6,15,9,0,7,23,>7h,normal,0.001,0
CRP-1177,home_station,15,6,19,1,23,21,5-7h,normal,0.195,0
CRP-1178,high_stress,15,2,27,1,59,21,5-7h,normal,0.437,0
CRP-1179,high_stress,21,5,21,3,61,21,5-7h,high,0.645,1
CRP-1180,home_station,13,13,8,1,29,22,5-7h,elevated,0.114,0
CRP-1181,field,44,4,12,1,28,-1,<5h,normal,0.482,0
CRP-1182,field,34,3,29,0,53,-1,5-7h,high,0.502,0
CRP-1183,field,9,6,16,0,37,-1,5-7h,elevated,0.347,0
CRP-1184,field,17,1,11,0,26,22,>7h,elevated,0.252,0
CRP-1185,high_stress,43,3,29,2,40,17,5-7h,elevated,0.593,1
CRP-1186,high_stress,14,4,26,3,53,-1,5-7h,elevated,0.605,1
CRP-1187,high_stress,65,2,22,3,71,13,<5h,elevated,1.001,1
CRP-1188,home_station,6,15,1,0,23,19,>7h,elevated,0.129,0
CRP-1189,high_stress,14,6,30,3,52,19,<5h,elevated,0.645,1
CRP-1190,field,5,8,24,2,42,25,5-7h,normal,0.272,0
CRP-1191,high_stress,23,5,48,2,74,-1,<5h,elevated,0.769,1
CRP-1192,field,26,3,20,1,41,17,5-7h,normal,0.398,0
CRP-1193,field,5,4,14,3,32,15,5-7h,normal,0.334,0
CRP-1194,home_station,1,6,8,1,8,18,>7h,normal,0.058,0
CRP-1195,home_station,9,10,6,0,14,-1,>7h,normal,0.132,0
CRP-1196,home_station,5,4,2,1,21,25,>7h,high,0.053,0
CRP-1197,home_station,1,12,18,0,22,16,<5h,normal,0.138,0
CRP-1198,high_stress,14,2,25,4,73,21,5-7h,normal,0.58,1
CRP-1199,field,51,6,15,2,39,13,<5h,elevated,0.672,1
CRP-1200,home_station,6,9,10,0,0,-1,5-7h,elevated,0.135,0
CRP-1201,field,14,2,27,0,31,-1,>7h,elevated,0.411,0
CRP-1202,high_stress,22,4,14,2,78,18,<5h,normal,0.555,1
CRP-1203,high_stress,16,2,45,2,75,12,5-7h,elevated,0.69,1
CRP-1204,field,6,5,22,1,34,18,5-7h,high,0.309,0
CRP-1205,home_station,4,11,8,0,27,-1,<5h,high,0.235,0
CRP-1206,field,43,4,19,0,40,13,5-7h,normal,0.483,0
CRP-1207,high_stress,71,0,26,1,36,-1,5-7h,elevated,0.739,1
CRP-1208,field,5,12,12,1,38,24,5-7h,normal,0.169,0
CRP-1209,field,19,5,22,1,40,-1,<5h,elevated,0.49,0
CRP-1210,home_station,20,10,11,0,14,-1,5-7h,normal,0.144,0
CRP-1211,high_stress,19,1,10,2,102,-1,>7h,elevated,0.666,1
CRP-1212,field,75,7,18,2,33,16,5-7h,high,0.616,1
CRP-1213,home_station,6,16,14,0,11,21,>7h,normal,0.073,0
CRP-1214,home_station,1,14,13,1,19,25,5-7h,elevated,0.102,0
CRP-1215,high_stress,38,2,23,1,30,13,5-7h,normal,0.488,0
CRP-1216,home_station,6,12,13,0,22,17,5-7h,normal,0.085,0
CRP-1217,high_stress,105,4,30,2,31,11,>7h,elevated,0.975,1
CRP-1218,home_station,21,6,0,0,16,22,5-7h,elevated,0.11,0
CRP-1219,high_stress,65,5,59,1,43,17,<5h,normal,0.827,1
CRP-1220,field,9,6,20,0,34,20,>7h,normal,0.231,0
CRP-1221,home_station,13,9,8,0,20,20,>7h,elevated,0.167,0
CRP-1222,field,75,5,22,1,28,19,<5h,normal,0.669,1
CRP-1223,field,27,6,21,0,37,18,<5h,normal,0.398,0
CRP-1224,field,15,7,15,0,20,20,>7h,elevated,0.299,0
CRP-1225,home_station,10,16,9,0,22,25,<5h,normal,0.059,0
CRP-1226,field,12,9,12,2,42,18,<5h,normal,0.367,0
CRP-1227,home_station,18,11,5,0,21,14,<5h,normal,0.22,0
CRP-1228,field,9,7,25,1,43,-1,<5h,normal,0.419,0
CRP-1229,home_station,3,14,10,0,27,23,>7h,normal,0.037,0
CRP-1230,high_stress,61,2,46,2,49,14,<5h,elevated,0.902,1
CRP-1231,home_station,31,18,10,2,16,16,5-7h,normal,0.267,0
CRP-1232,field,38,2,21,2,19,24,5-7h,normal,0.357,0
CRP-1233,field,55,7,17,0,36,14,<5h,high,0.674,1
CRP-1234,field,6,12,20,0,45,18,5-7h,normal,0.216,0
CRP-1235,home_station,18,10,7,2,19,16,5-7h,normal,0.231,0
CRP-1236,home_station,9,13,10,1,14,-1,5-7h,normal,0.109,0
CRP-1237,field,5,10,22,1,42,20,5-7h,normal,0.293,0
CRP-1238,field,5,4,16,1,34,20,5-7h,elevated,0.257,0
CRP-1239,high_stress,14,1,45,2,58,-1,5-7h,normal,0.586,1
CRP-1240,high_stress,14,0,40,2,44,-1,<5h,normal,0.562,1
CRP-1241,home_station,1,10,13,2,2,25,5-7h,elevated,0.043,0
CRP-1242,high_stress,117,0,30,3,68,5,5-7h,normal,1.07,1
CRP-1243,home_station,19,1,10,1,11,25,>7h,normal,0.036,0
CRP-1244,field,5,6,22,0,29,20,>7h,normal,0.202,0
CRP-1245,home_station,3,14,4,1,12,25,5-7h,elevated,0.028,0
CRP-1246,field,58,7,15,1,52,15,5-7h,normal,0.559,1
CRP-1247,high_stress,35,4,16,1,69,18,<5h,elevated,0.672,1
CRP-1248,high_stress,47,2,28,4,81,15,<5h,high,0.927,1
CRP-1249,home_station,4,13,13,1,20,23,5-7h,normal,0.088,0
CRP-1250,field,5,8,7,1,30,-1,5-7h,high,0.287,0
CRP-1251,field,49,4,23,1,28,16,<5h,high,0.569,1
CRP-1252,field,39,8,9,1,35,16,5-7h,normal,0.37,0
CRP-1253,field,12,9,15,1,14,22,>7h,normal,0.172,0
CRP-1254,field,25,4,9,1,31,18,5-7h,high,0.367,0
CRP-1255,home_station,35,8,8,1,7,-1,5-7h,normal,0.208,0
CRP-1256,home_station,6,9,5,0,6,-1,5-7h,normal,0.045,0
CRP-1257,field,24,5,9,0,44,-1,5-7h,normal,0.365,0
CRP-1258,home_station,3,18,15,1,17,24,5-7h,normal,0.061,0
CRP-1259,field,28,5,19,1,31,-1,5-7h,elevated,0.395,0
CRP-1260,home_station,11,11,9,0,17,23,5-7h,normal,0.1,0
CRP-1261,field,6,10,15,0,38,-1,5-7h,normal,0.231,0
CRP-1262,home_station,2,9,9,1,9,22,>7h,elevated,0.083,0
CRP-1263,high_stress,69,3,39,1,76,-1,<5h,normal,0.919,1
CRP-1264,field,63,9,38,0,44,14,5-7h,elevated,0.652,1
CRP-1265,field,13,8,35,2,25,20,5-7h,normal,0.367,0
CRP-1266,home_station,6,11,6,1,17,21,5-7h,normal,0.057,0
CRP-1267,home_station,2,10,13,1,17,22,5-7h,normal,0.041,0
CRP-1268,field,19,1,9,2,26,-1,>7h,normal,0.367,0
CRP-1269,field,17,5,13,1,18,-1,5-7h,elevated,0.337,0
CRP-1270,high_stress,55,7,20,1,40,17,<5h,normal,0.684,1
CRP-1271,field,5,8,14,0,19,25,5-7h,normal,0.112,0
CRP-1272,field,6,9,36,1,51,13,5-7h,normal,0.332,0
CRP-1273,high_stress,39,3,21,2,56,13,5-7h,normal,0.629,1
CRP-1274,field,56,6,8,1,34,14,5-7h,elevated,0.573,1
CRP-1275,high_stress,68,6,31,2,73,-1,<5h,normal,0.868,1
CRP-1276,field,40,5,19,0,35,-1,5-7h,normal,0.413,0
CRP-1277,field,40,6,5,0,42,15,5-7h,normal,0.396,0
CRP-1278,field,26,7,10,1,38,23,>7h,normal,0.313,0
CRP-1279,high_stress,29,4,36,2,42,-1,5-7h,normal,0.596,1
CRP-1280,high_stress,56,3,48,3,71,10,<5h,high,1.029,1
CRP-1281,home_station,2,7,6,0,21,22,5-7h,normal,-0.015,0
CRP-1282,high_stress,43,6,25,2,67,15,<5h,elevated,0.799,1
CRP-1283,home_station,11,13,3,0,23,-1,>7h,normal,0.139,0
CRP-1284,home_station,12,7,0,0,12,24,<5h,normal,0.07,0
CRP-1285,high_stress,15,2,35,1,59,21,>7h,high,0.531,0
CRP-1286,home_station,1,7,8,0,24,21,5-7h,normal,0.05,0
CRP-1287,high_stress,14,5,35,2,71,18,5-7h,high,0.632,1
CRP-1288,high_stress,23,1,47,1,65,-1,<5h,elevated,0.722,1
CRP-1289,home_station,45,14,14,0,14,17,5-7h,normal,0.346,0
CRP-1290,field,26,6,14,1,29,21,5-7h,normal,0.276,0
CRP-1291,high_stress,14,6,40,3,40,25,5-7h,normal,0.465,0
CRP-1292,field,22,5,16,0,33,20,>7h,elevated,0.303,0
CRP-1293,field,5,7,13,0,38,21,>7h,normal,0.168,0
CRP-1294,high_stress,67,2,29,1,43,14,<5h,normal,0.736,1
CRP-1295,home_station,1,11,12,0,10,25,5-7h,normal,-0.053,0
CRP-1296,field,5,2,24,0,28,22,5-7h,normal,0.16,0
CRP-1297,high_stress,14,3,58,1,33,23,<5h,normal,0.527,0
CRP-1298,home_station,5,9,18,0,12,24,5-7h,normal,0.036,0
CRP-1299,high_stress,120,2,40,1,80,6,<5h,high,1.185,1
CRP-1300,field,9,4,32,0,31,25,5-7h,normal,0.258,0
CRP-1301,home_station,8,17,4,0,4,24,5-7h,normal,-0.043,0
CRP-1302,high_stress,120,4,20,2,58,-1,<5h,normal,0.964,1
CRP-1303,high_stress,14,3,20,1,65,-1,<5h,elevated,0.599,1
CRP-1304,high_stress,14,5,11,1,46,17,5-7h,elevated,0.415,0
CRP-1305,field,15,4,23,1,58,-1,>7h,normal,0.368,0
CRP-1306,high_stress,14,3,10,2,55,21,<5h,normal,0.385,0
CRP-1307,high_stress,14,6,31,1,48,18,5-7h,normal,0.457,0
CRP-1308,home_station,4,10,16,1,17,21,5-7h,normal,0.084,0
CRP-1309,home_station,1,14,10,1,25,22,>7h,normal,0.062,0
CRP-1310,high_stress,14,6,41,2,59,20,5-7h,high,0.597,1
CRP-1311,high_stress,14,5,25,2,51,22,>7h,normal,0.414,0
CRP-1312,field,65,6,10,0,34,17,<5h,elevated,0.64,1
CRP-1313,high_stress,34,4,22,2,81,-1,5-7h,high,0.747,1
CRP-1314,home_station,2,7,7,0,6,-1,<5h,elevated,0.094,0
CRP-1315,field,8,6,9,0,58,22,5-7h,elevated,0.278,0
CRP-1316,field,67,6,30,1,32,18,<5h,high,0.695,1
CRP-1317,field,15,6,32,0,42,17,5-7h,normal,0.349,0
CRP-1318,home_station,27,4,5,0,16,20,5-7h,normal,0.156,0
CRP-1319,field,43,1,19,0,50,14,5-7h,normal,0.524,0
CRP-1320,field,16,4,24,0,40,21,5-7h,normal,0.286,0
CRP-1321,field,5,7,5,0,27,22,5-7h,normal,0.133,0
CRP-1322,field,5,7,21,1,32,20,5-7h,elevated,0.301,0
CRP-1323,field,7,9,17,1,25,20,5-7h,normal,0.224,0
CRP-1324,home_station,17,11,7,0,16,25,5-7h,elevated,0.105,0
CRP-1325,field,12,8,21,1,54,21,<5h,elevated,0.435,0
CRP-1326,field,46,0,11,2,42,15,<5h,elevated,0.564,1
CRP-1327,home_station,3,15,9,1,18,25,>7h,normal,0.041,0
CRP-1328,high_stress,14,6,42,2,61,15,<5h,elevated,0.644,1
CRP-1329,home_station,5,10,11,0,17,25,5-7h,normal,0.054,0
CRP-1330,home_station,18,13,8,1,10,22,5-7h,normal,0.107,0
CRP-1331,home_station,15,10,9,0,14,22,5-7h,elevated,0.133,0
CRP-1332,home_station,23,15,0,0,24,-1,5-7h,normal,0.167,0
CRP-1333,high_stress,106,2,23,2,65,6,<5h,elevated,1.065,1
CRP-1334,field,5,1,30,1,38,20,5-7h,normal,0.262,0
CRP-1335,field,5,5,16,1,41,17,>7h,elevated,0.294,0
CRP-1336,field,6,3,27,1,41,-1,5-7h,normal,0.312,0
CRP-1337,field,7,9,27,2,56,25,5-7h,normal,0.293,0
CRP-1338,home_station,8,10,12,1,22,24,>7h,normal,0.05,0
CRP-1339,high_stress,14,1,41,2,61,23,5-7h,elevated,0.592,1
CRP-1340,field,8,3,25,1,42,-1,5-7h,normal,0.302,0
CRP-1341,home_station,9,8,16,0,13,24,<5h,normal,0.059,0
CRP-1342,field,5,11,28,3,19,23,5-7h,normal,0.294,0
CRP-1343,home_station,1,5,15,1,6,-1,5-7h,normal,0.095,0
CRP-1344,field,57,7,28,1,33,17,<5h,elevated,0.69,1
CRP-1345,field,5,10,12,1,49,17,<5h,elevated,0.369,0
CRP-1346,high_stress,41,2,23,3,49,17,5-7h,normal,0.669,1
CRP-1347,high_stress,33,3,23,2,55,12,5-7h,normal,0.671,1
CRP-1348,home_station,1,17,0,1,10,25,5-7h,normal,-0.071,0
CRP-1349,home_station,10,16,11,0,6,-1,>7h,elevated,0.205,0
CRP-1350,field,5,5,36,2,22,22,5-7h,normal,0.247,0
CRP-1351,home_station,1,12,5,0,20,-1,<5h,normal,0.084,0
CRP-1352,field,7,8,7,2,39,-1,5-7h,normal,0.341,0
CRP-1353,field,5,7,34,0,30,-1,5-7h,normal,0.289,0
CRP-1354,field,12,5,32,1,37,-1,5-7h,normal,0.343,0
CRP-1355,home_station,7,13,5,2,0,22,<5h,elevated,0.095,0
CRP-1356,field,14,1,15,2,37,-1,5-7h,high,0.407,0
CRP-1357,field,21,2,6,0,22,22,5-7h,normal,0.168,0
CRP-1358,field,22,6,28,0,37,24,5-7h,elevated,0.289,0
CRP-1359,home_station,1,8,19,0,3,-1,>7h,normal,0.144,0
CRP-1360,high_stress,61,2,33,1,53,-1,>7h,normal,0.744,1
CRP-1361,field,68,0,18,2,59,-1,<5h,high,0.774,1
CRP-1362,field,25,4,15,1,33,-1,5-7h,normal,0.353,0
CRP-1363,high_stress,70,2,14,3,70,13,5-7h,elevated,0.925,1
CRP-1364,field,75,12,27,0,48,19,<5h,elevated,0.729,1
CRP-1365,home_station,10,18,9,0,8,21,<5h,normal,0.052,0
CRP-1366,field,16,9,16,0,26,21,5-7h,normal,0.223,0
CRP-1367,high_stress,14,5,33,2,34,19,5-7h,normal,0.435,0
CRP-1368,home_station,7,9,3,2,17,23,5-7h,normal,0.109,0
CRP-1369,field,16,10,17,0,34,25,5-7h,normal,0.222,0
CRP-1370,home_station,1,13,7,0,3,-1,<5h,normal,0.165,0
CRP-1371,home_station,15,12,10,0,2,-1,5-7h,elevated,0.112,0
CRP-1372,home_station,13,18,1,1,17,23,5-7h,normal,0.103,0
CRP-1373,field,18,0,12,0,54,17,5-7h,normal,0.29,0
CRP-1374,field,11,10,34,0,65,14,<5h,high,0.519,0
CRP-1375,high_stress,33,2,40,2,38,-1,5-7h,normal,0.577,1
CRP-1376,home_station,5,11,11,0,35,16,5-7h,normal,0.138,0
CRP-1377,field,70,5,9,0,45,20,<5h,high,0.629,1
